a,Afraid,Alienated,Ashamed,Awful,,,,,,,,
b,Barren,Beaten,Blah,,,,,,,,,
c,Cowardly,Crestfallen,Crushed,,,,,,,,,
d,Dejected,Demoralized,Depressed,Desolate,Despondent,Devalued,Disappointed,Discouraged,Dismal,Dispirited,Distressed,Downcast
e,Empty,,,,,,,,,,,
f,Fed up,Funk,,,,,,,,,,
g,Gloomy,Glum,Grieved,Grim,,,,,,,,
h,Harassed,Haunted,Hopeless,,,,,,,,,
i,In despair,,,,,,,,,,,
j,,,,,,,,,,,,
k,,,,,,,,,,,,
l,Lost,Low,,,,,,,,,,
m,Melancholy,Menaced,Miserable,Moody,Morose,,,,,,,
n,,,,,,,,,,,,
o,,,,,,,,,,,,
p,,,,,,,,,,,,
q,,,,,,,,,,,,
r,Regretful,,,,,,,,,,,
s,Somber,Sorrowful,Subdued,Suspicious,,,,,,,,
t,Tearful,Tragic,,,,,,,,,,
u,Uncomfortable,Unhappy,Upset,,,,,,,,,
v,,,,,,,,,,,,
w,Woeful,Worried,,,,,,,,,,
x,,,,,,,,,,,,
y,,,,,,,,,,,,
z,,,,,,,,,,,,
